Table 1
Practice Time,First >,5:00:00 AM,5:00:00 AM,5:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second v,Duration (hrs),<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs,<1.5hr,>=1.5 & < 2.5hrs,>=2.5hrs
,<1.5hr,"Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Meal	4 after last meal	
Pre-Meal	3 before second exercise	
Post-Snack	completion of second exercise	",,,,,,"Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Meal	4 after last meal	
Pre-Meal	3 before second exercise	
Post-Snack	completion of second exercise",,,,,,"Pre-Meal        3 before first exercise        
Post-snack        completion of first exercise        
Meal        6 before second exercise        
Pre-meal        3 before second exercise        
Post-snack        completion of second exercise
FAIL - see comment! ","FAIL: EXPECTED: 
6am meal
9-11am exercise
11am post-snack
2:15pm meal
5:15pm pre-meal
8:15-9:15pm exercise
9:15pm post-snack 
WHAT I SAW: 
9am-10am meal
9-11am exercise
11-12 snack
1-2pm meal
4-5pm meal
7-8pm meal 
8:15-9:15pm exercise","Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-meal	3 before second exercise	
Pre Snack	1 before second exercise	
Post-snack	completion of second exercise","Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	6 before second exercise	
Pre-meal	3 before second exercise	
Post-snack	completion of second exercise","Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-meal	3 before second exercise	
Pre Snack	1 before second exercise	
Post-snack	completion of second exercise",,"Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Meal        completion of first exercise        
Pre-Snack        1.5 before second exercise        
Meal        completion of second exercise        ",,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Meal	3 before second exercise	
Snack	completion of second exercise","Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Meal        completion of first exercise        
Pre-Meal        3 before second exercise        
Post-Snack        completion of second exercise","Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Meal        completion of first exercise        
Pre-Snack        1 before second exercise        
Meal        completion of second exercise",,"Pre-Meal	3 before first exercise	
Pre Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-snack	1 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Meal	completion of second exercise","Meal        7 before first exercise        
Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Post-snack        completion of first exercise        
Pre-Snack        1 before second exercise        
Post-snack        completion of second exercise","Meal        7 before first exercise        
Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Post-snack        completion of first exercise        
Post-snack        completion of second exercise",,"Meal        11 before first exercise        
Meal        3 after last meal        
Pre-meal        3 before first exercise        
Post-snack        completion of first exercise        
Post-snack        completion of second exercise
FAIL - see comment",,,,,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,"FAIL: EXPECTED: 
6am meal
9-10am exercise
10am post-snack
2pm meal
5pm meal
8-9:59pm exercise
9:59pm post-snack
WHAT I SAW: 
9-10am meal
9-10am exercise
11-12pm snack
1-2pm meal
4-5pm snack
7-8pm meal
8-9:59pm exercise","FAIL: EXPECTED: 
6am meal 
9-11am exercise
11am post-snack 
2pm meal
5pm meal
8-9:59pm exercise
9:59pm post-snack 
WHAT I SAW: 
9-10am meal
9-11am exercise
11-12 snack
1-2pm meal
4-5pm meal
7-8pm meal
8-9:59pm exercise",,,,,,,,,,,,,,,,,,,,,,,,,,"FAIL
expected: 
7am meal
10am meal
3pm pre-meal
6-7pm exercise
7pm post-snack
8-9:59pm exercise
9:59pm post-snack
actual: 
9-10am meal
11-12pm snack
1-2pm meal
4-5pm snack
6-7pm exercise
7-8pm meal
8-9:59pm exercise
",,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,BLOCKED by 10pm exercise limit,BLOCKED by 10pm exercise limit,,,,,,,,,,,,,,,,,,,,,,,,,,BLOCKED by 10pm limit,,,,,,,,,,,
,<1.5hr,,,,,,,,,,,,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	7 before second exercise	
Pre-meal	3 before second exercise	
Post-snack	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	7 before second exercise	
Pre-meal	3 before second exercise	
Post-snack	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Meal	3 before second exercise	
Snack	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Meal	3 before second exercise	
Snack	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Pre Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Meal	3 before second exercise	
Post-snack	completion of second exercise",,,,,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal        7 before first exercise        
Pre-Meal        3 before first exercise        
Pre-Snack        1 before first exercise        
Post-snack        completion of first exercise        
Pre-Snack        1 before second exercise        
Post-snack        completion of second exercise",,"Meal	11 before first exercise	
Meal	3 after last meal	
Pre-meal	3 before first exercise	
Post-snack	completion of first exercise	
Post-snack	completion of second exercise",,,"Meal	10 before first exercise	
Meal	3 after last meal	
Pre-meal	3 before first exercise	
Post-snack	completion of first exercise	
Post-snack	completion of second exercise",,,,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,<1.5hr,"Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Meal	4 after last meal	
Pre-Meal	3 before second exercise	
Post-Snack	completion of second exercise	",,,,,,"Pre-Snack	1.5 before first exercise	
Meal	completion of first exercise	
Meal	4 after last meal	
Pre-Meal	3 before second exercise	
Post-Snack	completion of second exercise",,,,,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	8 before second exercise	
Pre-meal	3 before second exercise	
Post-snack	completion of second exercise",,,"Pre-Meal	3 before first exercise	
Post-snack	completion of first exercise	
Meal	8 before second exercise	
Pre-meal	3 before second exercise	
Post-snack	completion of second exercise",,,,,,,,,,,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,,,,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Meal	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise",,"Meal	7 before first exercise	
Pre-Meal	3 before first exercise	
Pre-Snack	1 before first exercise	
Post-snack	completion of first exercise	
Pre-Snack	1 before second exercise	
Post-snack	completion of second exercise","Meal	11 before first exercise	
Meal	3 after last meal	
Pre-meal	3 before first exercise	
Post-snack	completion of first exercise	
Post-snack	completion of second exercise",,,"Meal	10 before first exercise	
Meal	3 after last meal	
Pre-meal	3 before first exercise	
Post-snack	completion of first exercise	
Post-snack	completion of second exercise",,"Meal	10 before first exercise	
Meal	3 after last meal	
Pre-meal	3 before first exercise	
Post-snack	completion of first exercise	
Post-snack	completion of second exercise",,,,,,
,>=1.5 & < 2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>=2.5hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
